gender,carType,carCat,job,cover,age,nYears,carVal,density,claimNumbMD,pred_claim_prob,pred_cond_sev,pred_expected_loss,pct_rank,action_band
Male,C,Large,Employed,0,25,3,15080,72.01288299,1,0.6219936864686249,518.8531300226307,322.7233710785608,0.7939977395656737,3-Standard (20-80%)
Male,E,Large,Employed,1,20,2,22370,39.55041059,1,0.6945109383020454,474.168731888177,329.3153708971488,0.8019092597077582,2-Medium Review (80-95%)
Female,E,Large,Unemployed,0,42,0,39650,169.5291484,1,0.6087564217075601,420.00535287168884,255.68095571219038,0.6808145636554452,3-Standard (20-80%)
Female,C,Medium,Housewife,1,21,0,12600,58.89468755,1,0.6471749173869986,431.63450944462534,279.3430279912031,0.7277589408250585,3-Standard (20-80%)
Female,D,Large,Employed,0,33,10,9065,109.6318854,1,0.40060832431315646,292.0140048230585,116.98324114813944,0.20257124404617743,3-Standard (20-80%)
Female,D,Small,Employed,1,26,7,27335,47.98269849,1,0.5205880804049712,331.66615631237715,172.66144764995553,0.4418947283442319,3-Standard (20-80%)
Female,C,Small,Unemployed,0,20,13,7710,77.73738533,1,0.6470826915689766,574.1715650585585,371.5364817404638,0.8477637846129006,2-Medium Review (80-95%)
Female,B,Medium,Employed,0,29,12,8965,272.9669948,1,0.5688841627615729,468.1183156037548,266.30509604559984,0.7036207314119641,3-Standard (20-80%)
Male,E,Medium,Unemployed,1,31,10,21030,251.432848,1,0.6836434347386021,468.07063370839853,319.9934157286837,0.7908492774683136,3-Standard (20-80%)
Male,D,Medium,Employed,1,35,1,19995,144.998902,1,0.5057085666742223,376.5510477230633,190.425090623707,0.5076491483006378,3-Standard (20-80%)
Male,C,Small,Employed,0,27,0,18395,166.5549379,1,0.686938212497103,554.3368960161041,380.795196470495,0.8574917251957698,2-Medium Review (80-95%)
Female,A,Large,Housewife,0,65,15,11880,223.3085718,1,0.41191190889083656,312.38074833254,128.67335034640456,0.2577096956486639,3-Standard (20-80%)
Female,A,Medium,Unemployed,0,25,2,23130,107.8170529,1,0.6564126190348409,591.4784887331493,388.25394389209623,0.8644748526681199,2-Medium Review (80-95%)
Male,D,Small,Unemployed,0,24,8,15680,32.9239514,1,0.6179391154347783,490.56986008077257,303.14230539727555,0.7663074190683782,3-Standard (20-80%)
Male,D,Small,Employed,0,21,0,33920,102.818883,1,0.7772568578982045,593.6358964960796,461.4075716461266,0.923003955760071,2-Medium Review (80-95%)
Female,A,Small,Employed,0,29,0,11370,32.2125563,1,0.401642379373265,386.17778416093125,155.1053640914916,0.37153870993783805,3-Standard (20-80%)
Male,D,Small,Unemployed,0,22,6,23130,285.6217445,1,0.8646842211187297,772.2516489951702,667.7538156190433,0.9910591749414709,1-Highest Review (Top 5%)
Female,D,Large,Unemployed,0,21,5,8695,112.4047945,1,0.732070455205902,608.6714186580791,445.5903625278421,0.91178251392589,2-Medium Review (80-95%)
Male,A,Small,Self-employed,0,18,2,11925,297.3851697,1,0.789441578107966,846.5185138525613,668.2769114733761,0.9911399047388391,1-Highest Review (Top 5%)
Male,D,Large,Employed,0,34,3,4190,31.49128874,1,0.38138511627153937,352.55511847067663,134.45927485006536,0.28447162347622507,3-Standard (20-80%)
Male,B,Small,Employed,0,41,1,5020,62.06252553,1,0.35506130726697094,388.3329952193729,137.8820209374889,0.29964882538144827,3-Standard (20-80%)
Female,A,Medium,Housewife,1,41,0,24940,272.9669948,1,0.576756383889124,375.44325125740494,216.53929195079667,0.5866634374747719,3-Standard (20-80%)
Male,B,Small,Unemployed,0,25,12,48945,190.0515645,1,0.7333887999742033,693.5427561668811,508.63648967603035,0.9505126342132881,1-Highest Review (Top 5%)
Female,E,Small,Employed,0,29,7,1525,225.0430894,1,0.6199249367281268,416.28428997892286,258.0650121260969,0.6864454670218778,3-Standard (20-80%)
Male,A,Small,Self-employed,1,47,12,18480,129.4194752,1,0.32428515265843866,356.1898218632367,115.5070707583018,0.19540647452974894,4-Low Risk (Bottom 20%)
