gender,carType,carCat,job,cover,age,nYears,carVal,density,claimNumbMD,pred_claim_prob,pred_cond_sev,pred_expected_loss,pct_rank,action_band
Male,A,Medium,Unemployed,0,18,2,5715,270.7883545,1,0.8325904821993847,1057.5034618134548,880.4673171987829,1.0,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,18,5,24200,290.1327193,1,0.8629926997861508,1018.5064090415498,878.9635956882646,0.9999596351013159,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,18,0,24825,282.3344767,1,0.8767553492295744,995.293564165919,872.6289564362381,0.9999192702026318,1-Highest Review (Top 5%)
Male,C,Medium,Unemployed,0,18,4,1255,240.0004036,1,0.8384783606491696,1040.0538356115721,872.062635070472,0.9998789053039477,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,18,0,11865,275.2822626,1,0.8738866286470476,992.4570791003446,867.2949709318964,0.9998385404052635,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,18,3,26235,245.331155,1,0.8641991292086204,1000.1799064168608,864.3546041774106,0.9997981755065795,1-Highest Review (Top 5%)
Male,A,Small,Unemployed,0,19,4,12830,293.5560359,1,0.8511056467569355,1006.5821778351011,856.7077754803483,0.9997578106078954,1-Highest Review (Top 5%)
Male,C,Medium,Unemployed,0,19,1,4090,270.874006,1,0.8529741981049677,1001.3984792890395,854.1670648551026,0.9997174457092113,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,18,0,20580,248.5121203,1,0.8639399106054307,984.3727791976976,850.4389308624783,0.9996770808105272,1-Highest Review (Top 5%)
Male,A,Medium,Unemployed,0,18,1,24940,251.432848,1,0.8495203518289587,995.1708623150279,845.4179010837906,0.9996367159118431,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,20,4,12850,284.2162652,1,0.8661333596088685,968.678892962291,839.0051039436287,0.9995963510131589,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,19,3,20825,249.8117276,1,0.8670722565071317,960.4922032993838,832.8161420723035,0.9995559861144748,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,20,4,23685,256.6405915,1,0.8719999749261856,953.2526389455827,831.2362772588684,0.9995156212157907,1-Highest Review (Top 5%)
Male,C,Medium,Unemployed,0,21,0,9585,275.0923407,1,0.8533631508933972,962.0433084141017,820.9723089641661,0.9994752563171067,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,19,4,6215,211.8309492,0,0.8024121723164582,1013.9913053876668,813.6389660661189,0.9994348914184226,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,20,3,14085,250.8413259,1,0.8519827998791498,952.8396242991613,811.8029709461966,0.9993945265197385,1-Highest Review (Top 5%)
Male,B,Medium,Unemployed,0,18,9,41825,275.2822626,1,0.8576428424617,945.5445630545815,810.9395267323374,0.9993541616210543,1-Highest Review (Top 5%)
Male,C,Small,Unemployed,0,19,6,7580,297.3851697,0,0.8584225922915417,942.8586758603101,809.3711886965779,0.9993137967223702,1-Highest Review (Top 5%)
Male,A,Large,Unemployed,0,18,6,13065,293.5560359,1,0.8441119574204567,951.0952806511299,802.8308990437839,0.9992734318236861,1-Highest Review (Top 5%)
Male,B,Large,Unemployed,1,18,0,14680,270.7883545,1,0.8565676687908953,936.4578277235715,802.1394984141655,0.999233066925002,1-Highest Review (Top 5%)
Male,B,Small,Unemployed,0,18,9,46445,290.1327193,1,0.8678497477285135,924.2061336799437,802.072059963284,0.9991927020263179,1-Highest Review (Top 5%)
